tree_id,block_id,species_group,latitude,longitude,health,tree_dbh,stump_diam,curb_loc,steward,sidewalk,address,zipcode,boroname,nta,nta_name
202052,103117,Callery pear,40.72759379,-73.99103944,Good,6,0,OnCurb,None,Damage,200 EAST 5 STREET,10003,Manhattan,MN22,East Village
174148,102361,pin oak,40.70966184,-74.00064168,Good,5,0,OnCurb,None,NoDamage,372 PEARL STREET,10038,Manhattan,MN27,Chinatown
262311,101814,Sophora,40.73273342,-74.00437004,Good,10,0,OnCurb,1or2,NoDamage,42 GROVE STREET,10014,Manhattan,MN23,West Village
156990,216810,honeylocust,40.70342961,-73.96555748,Good,8,0,OnCurb,None,NoDamage,31 WILSON STREET,11249,Brooklyn,BK72,Williamsburg
144110,101286,Other,40.7242187,-73.99359453,Poor,4,0,OnCurb,None,NoDamage,268 ELIZABETH STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
172446,103342,honeylocust,40.71936661,-73.97684467,Good,3,0,OnCurb,None,NoDamage,484 EAST HOUSTON STREET,10009,Manhattan,MN28,Lower East Side
272461,102093,Other,40.73674009,-74.00407516,Fair,5,0,OnCurb,None,NoDamage,58 BANK STREET,10014,Manhattan,MN23,West Village
271565,101247,Other,40.72387533,-74.004466,Good,14,0,OnCurb,None,NoDamage,116 AVENUE OF THE AMERICAS,10013,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
136924,103016,honeylocust,40.72407172,-73.98846279,Fair,4,0,OnCurb,1or2,NoDamage,85 EAST 2 STREET,10003,Manhattan,MN22,East Village
206418,105375,honeylocust,40.73829461,-73.97996779,Good,9,0,OnCurb,1or2,NoDamage,305 EAST 24 STREET,10010,Manhattan,MN21,Gramercy
430397,101780,London planetree,40.73129443,-74.0025728,Good,12,0,OnCurb,None,NoDamage,33 CORNELIA STREET,10014,Manhattan,MN23,West Village
271759,101376,honeylocust,40.72465287,-74.00203281,Good,12,0,OnCurb,3or4,NoDamage,167 SPRING STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
190761,103355,Other,40.71475842,-73.99679868,Good,4,0,OnCurb,None,NoDamage,21 BOWERY,10002,Manhattan,MN27,Chinatown
72903,102950,Callery pear,40.72132821,-73.98797013,Good,11,0,OnCurb,1or2,NoDamage,100 STANTON STREET,10002,Manhattan,MN27,Chinatown
453089,102552,honeylocust,40.71406299,-73.98308092,Good,7,0,OnCurb,None,NoDamage,290 HENRY STREET,10002,Manhattan,MN28,Lower East Side
175312,216998,Other,40.70675729,-73.96731609,Fair,7,0,OnCurb,None,Damage,47 DIVISION AVENUE,11249,Brooklyn,BK72,Williamsburg
521711,105204,Sophora,40.73581252,-73.98957007,Good,5,0,OnCurb,1or2,NoDamage,34 UNION SQUARE EAST,10003,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
145114,101091,Callery pear,40.71989191,-73.99701865,Good,5,0,OnCurb,None,Damage,172 MULBERRY STREET,10013,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
35811,103438,honeylocust,40.74048893,-74.00031081,Good,8,0,OnCurb,None,NoDamage,232 WEST 16 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
432792,102265,littleleaf linden,40.72884138,-74.00342609,Poor,4,0,OnCurb,None,NoDamage,3 BEDFORD STREET,10014,Manhattan,MN23,West Village
168117,102820,Other,40.71878591,-73.98397521,Good,9,0,OnCurb,None,NoDamage,100 ATTORNEY STREET,10002,Manhattan,MN28,Lower East Side
456905,102393,Other,40.71059293,-73.98653377,Good,7,0,OffsetFromCurb,None,Damage,286 SOUTH STREET,10002,Manhattan,MN28,Lower East Side
211768,101531,ginkgo,40.72900592,-74.00458963,Good,3,0,OnCurb,None,NoDamage,56 DOWNING STREET,10014,Manhattan,MN23,West Village
143987,101307,littleleaf linden,40.72418893,-73.99523188,Good,11,0,OnCurb,None,NoDamage,272 MULBERRY STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
232123,103179,Japanese zelkova,40.72919521,-73.98924299,Good,3,0,OnCurb,1or2,Damage,10 ST MARKS PLACE,10003,Manhattan,MN22,East Village
200219,102446,ginkgo,40.7125065,-73.99799997,Good,4,0,OnCurb,None,NoDamage,19 OLIVER STREET,10038,Manhattan,MN27,Chinatown
172287,102997,Sophora,40.72309226,-73.98197241,Good,8,0,OnCurb,1or2,NoDamage,252 EAST 4 STREET,10009,Manhattan,MN28,Lower East Side
153664,112045,Other,40.74045433,-73.97713999,Good,3,0,OnCurb,1or2,NoDamage,339 EAST 28 STREET,10016,Manhattan,MN20,Murray Hill-Kips Bay
69551,103120,Callery pear,40.72719,-73.98258516,Fair,3,0,OnCurb,None,NoDamage,141 AVENUE A,10009,Manhattan,MN22,East Village
27975,105292,London planetree,40.73426842,-73.98192332,Good,20,0,OnCurb,None,Damage,324 EAST 18 STREET,10003,Manhattan,MN21,Gramercy
30485,101802,ginkgo,40.73251392,-73.99605207,Good,13,0,OnCurb,3or4,NoDamage,11 5 AVENUE,10003,Manhattan,MN23,West Village
416673,100324,honeylocust,40.70982993,-74.0044956,Good,8,0,OnCurb,None,NoDamage,80 GOLD STREET,10038,Manhattan,MN25,Battery Park City-Lower Manhattan
168286,103402,Sophora,40.72643057,-73.97484688,Good,3,0,OffsetFromCurb,1or2,NoDamage,181 AVENUE D,10009,Manhattan,MN28,Lower East Side
31985,104251,honeylocust,40.73802334,-73.98808378,Good,4,0,OnCurb,None,NoDamage,250 PARK AVENUE SOUTH,10003,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
179826,102993,London planetree,40.72171977,-73.99124094,Good,20,0,OnCurb,None,NoDamage,190 FORSYTH STREET,10002,Manhattan,MN27,Chinatown
432187,101337,Other,40.72444661,-74.00411554,Fair,6,0,OnCurb,None,NoDamage,67 SULLIVAN STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
253834,103130,Callery pear,40.72701967,-73.98751511,Poor,4,0,OnCurb,3or4,NoDamage,319 EAST 6 STREET,10003,Manhattan,MN22,East Village
407146,102907,honeylocust,40.72224737,-73.97650826,Good,10,0,OnCurb,None,NoDamage,870 EAST 6 STREET,10009,Manhattan,MN28,Lower East Side
194057,102871,ginkgo,40.71984293,-73.9830813,Poor,2,0,OnCurb,None,NoDamage,196 STANTON STREET,10002,Manhattan,MN28,Lower East Side
34089,102345,Sophora,40.72557024,-73.99331892,Good,16,0,OnCurb,4orMore,Damage,21 BLEECKER STREET,10012,Manhattan,MN23,West Village
27887,105278,Sophora,40.73271,-73.98454017,Poor,8,0,OnCurb,1or2,Damage,240 2 AVENUE,10003,Manhattan,MN21,Gramercy
