artist,track_name,region,date,streams
Ed Sheeran,Shape of You,sg,2017-01-09,69790
Ed Sheeran,Shape of You,sg,2017-01-10,68933
Ed Sheeran,Shape of You,sg,2017-01-11,67454
Ed Sheeran,Shape of You,sg,2017-01-12,67238
Ed Sheeran,Shape of You,sg,2017-01-13,64162
Ed Sheeran,Shape of You,sg,2017-01-14,64355
Ed Sheeran,Shape of You,sg,2017-01-15,68853
Ed Sheeran,Shape of You,sg,2017-01-16,72699
Ed Sheeran,Shape of You,sg,2017-01-17,71904
Ed Sheeran,Shape of You,sg,2017-01-18,71554
Ed Sheeran,Shape of You,sg,2017-01-19,69709
Ed Sheeran,Shape of You,sg,2017-01-20,67535
Ed Sheeran,Shape of You,sg,2017-01-21,66116
Ed Sheeran,Shape of You,sg,2017-01-22,68346
Ed Sheeran,Shape of You,sg,2017-01-23,72413
Ed Sheeran,Shape of You,sg,2017-01-24,73991
Ed Sheeran,Shape of You,sg,2017-01-25,73166
Ed Sheeran,Shape of You,sg,2017-01-26,72305
Ed Sheeran,Shape of You,sg,2017-01-27,70359
Ed Sheeran,Shape of You,sg,2017-01-28,55322
Ed Sheeran,Shape of You,sg,2017-01-29,55647
Ed Sheeran,Shape of You,sg,2017-01-30,60815
Ed Sheeran,Shape of You,sg,2017-01-31,78544
Ed Sheeran,Shape of You,sg,2017-02-01,76106
Ed Sheeran,Shape of You,sg,2017-02-02,75386
Ed Sheeran,Shape of You,sg,2017-02-03,71873
Ed Sheeran,Shape of You,sg,2017-02-04,72005
Ed Sheeran,Shape of You,sg,2017-02-05,74525
Ed Sheeran,Shape of You,sg,2017-02-06,78890
Ed Sheeran,Shape of You,sg,2017-02-07,78927
Ed Sheeran,Shape of You,sg,2017-02-08,80535
Ed Sheeran,Shape of You,sg,2017-02-09,78933
Ed Sheeran,Shape of You,sg,2017-02-10,76123
Ed Sheeran,Shape of You,sg,2017-02-11,75724
Ed Sheeran,Shape of You,sg,2017-02-12,75040
Ed Sheeran,Shape of You,sg,2017-02-13,78421
Ed Sheeran,Shape of You,sg,2017-02-14,75620
Ed Sheeran,Shape of You,sg,2017-02-15,81040
Ed Sheeran,Shape of You,sg,2017-02-16,80777
Ed Sheeran,Shape of You,sg,2017-02-17,77235
Ed Sheeran,Shape of You,sg,2017-02-18,78728
Ed Sheeran,Shape of You,sg,2017-02-19,77683
Ed Sheeran,Shape of You,sg,2017-02-20,79822
Ed Sheeran,Shape of You,sg,2017-02-21,79136
Ed Sheeran,Shape of You,sg,2017-02-22,79625
Ed Sheeran,Shape of You,sg,2017-02-23,82119
Ed Sheeran,Shape of You,sg,2017-02-24,76445
Ed Sheeran,Shape of You,sg,2017-02-25,77667
Ed Sheeran,Shape of You,sg,2017-02-26,76826
Ed Sheeran,Shape of You,sg,2017-02-27,78740
Ed Sheeran,Shape of You,sg,2017-02-28,77550
Ed Sheeran,Shape of You,sg,2017-03-01,77630
Ed Sheeran,Shape of You,sg,2017-03-02,80648
Ed Sheeran,Shape of You,sg,2017-03-03,91196
Ed Sheeran,Shape of You,sg,2017-03-04,88528
Ed Sheeran,Shape of You,sg,2017-03-05,90434
Ed Sheeran,Shape of You,sg,2017-03-06,93212
Ed Sheeran,Shape of You,sg,2017-03-07,92116
Ed Sheeran,Shape of You,sg,2017-03-08,89346
Ed Sheeran,Shape of You,sg,2017-03-09,92054
Ed Sheeran,Shape of You,sg,2017-03-10,87401
Ed Sheeran,Shape of You,sg,2017-03-11,83778
Ed Sheeran,Shape of You,sg,2017-03-12,80114
Ed Sheeran,Shape of You,sg,2017-03-13,90800
Ed Sheeran,Shape of You,sg,2017-03-14,88680
Ed Sheeran,Shape of You,sg,2017-03-15,88249
Ed Sheeran,Shape of You,sg,2017-03-16,85792
Ed Sheeran,Shape of You,sg,2017-03-17,82407
Ed Sheeran,Shape of You,sg,2017-03-18,75662
Ed Sheeran,Shape of You,sg,2017-03-19,72365
Ed Sheeran,Shape of You,sg,2017-03-20,75672
Ed Sheeran,Shape of You,sg,2017-03-21,75394
Ed Sheeran,Shape of You,sg,2017-03-22,74799
Ed Sheeran,Shape of You,sg,2017-03-23,73321
Ed Sheeran,Shape of You,sg,2017-03-24,72141
Ed Sheeran,Shape of You,sg,2017-03-25,70853
Ed Sheeran,Shape of You,sg,2017-03-26,67931
Ed Sheeran,Shape of You,sg,2017-03-27,70302
Ed Sheeran,Shape of You,sg,2017-03-28,68484
Ed Sheeran,Shape of You,sg,2017-03-29,69680
Ed Sheeran,Shape of You,sg,2017-03-30,66940
Ed Sheeran,Shape of You,sg,2017-03-31,63901
Ed Sheeran,Shape of You,sg,2017-04-01,62436
Ed Sheeran,Shape of You,sg,2017-04-02,60840
Ed Sheeran,Shape of You,sg,2017-04-03,63913
Ed Sheeran,Shape of You,sg,2017-04-04,64034
Ed Sheeran,Shape of You,sg,2017-04-05,63932
Ed Sheeran,Shape of You,sg,2017-04-06,62679
Ed Sheeran,Shape of You,sg,2017-04-07,62177
Ed Sheeran,Shape of You,sg,2017-04-08,58722
Ed Sheeran,Shape of You,sg,2017-04-09,56906
Ed Sheeran,Shape of You,sg,2017-04-10,61141
Ed Sheeran,Shape of You,sg,2017-04-11,60331
Ed Sheeran,Shape of You,sg,2017-04-12,60567
Ed Sheeran,Shape of You,sg,2017-04-13,57341
Ed Sheeran,Shape of You,sg,2017-04-14,54987
Ed Sheeran,Shape of You,sg,2017-04-15,55503
Ed Sheeran,Shape of You,sg,2017-04-16,53033
Ed Sheeran,Shape of You,sg,2017-04-17,58746
Ed Sheeran,Shape of You,sg,2017-04-18,58406
Ed Sheeran,Shape of You,sg,2017-04-19,59061
Ed Sheeran,Shape of You,sg,2017-04-20,58199
Ed Sheeran,Shape of You,sg,2017-04-21,56930
Ed Sheeran,Shape of You,sg,2017-04-22,55920
Ed Sheeran,Shape of You,sg,2017-04-23,53305
Ed Sheeran,Shape of You,sg,2017-04-24,57044
Ed Sheeran,Shape of You,sg,2017-04-25,56929
Ed Sheeran,Shape of You,sg,2017-04-26,57588
Ed Sheeran,Shape of You,sg,2017-04-27,55652
Ed Sheeran,Shape of You,sg,2017-04-28,54886
Ed Sheeran,Shape of You,sg,2017-04-29,52090
Ed Sheeran,Shape of You,sg,2017-04-30,48574
Ed Sheeran,Shape of You,sg,2017-05-01,50954
Ed Sheeran,Shape of You,sg,2017-05-02,53044
Ed Sheeran,Shape of You,sg,2017-05-03,53278
Ed Sheeran,Shape of You,sg,2017-05-04,54391
Ed Sheeran,Shape of You,sg,2017-05-05,54831
Ed Sheeran,Shape of You,sg,2017-05-06,51863
Ed Sheeran,Shape of You,sg,2017-05-07,50657
Ed Sheeran,Shape of You,sg,2017-05-08,55566
Ed Sheeran,Shape of You,sg,2017-05-09,52222
Ed Sheeran,Shape of You,sg,2017-05-10,49441
Ed Sheeran,Shape of You,sg,2017-05-11,55454
Ed Sheeran,Shape of You,sg,2017-05-12,53145
Ed Sheeran,Shape of You,sg,2017-05-13,49194
Ed Sheeran,Shape of You,sg,2017-05-14,46066
Ed Sheeran,Shape of You,sg,2017-05-15,52669
Ed Sheeran,Shape of You,sg,2017-05-16,51504
Ed Sheeran,Shape of You,sg,2017-05-17,50077
Ed Sheeran,Shape of You,sg,2017-05-18,49587
Ed Sheeran,Shape of You,sg,2017-05-19,48596
Ed Sheeran,Shape of You,sg,2017-05-20,46496
Ed Sheeran,Shape of You,sg,2017-05-21,41994
Ed Sheeran,Shape of You,sg,2017-05-22,46342
Ed Sheeran,Shape of You,sg,2017-05-23,46737
Ed Sheeran,Shape of You,sg,2017-05-24,44827
Ed Sheeran,Shape of You,sg,2017-05-25,45885
Ed Sheeran,Shape of You,sg,2017-05-26,46947
Ed Sheeran,Shape of You,sg,2017-05-27,41287
Ed Sheeran,Shape of You,sg,2017-05-28,39500
Ed Sheeran,Shape of You,sg,2017-05-29,47066
Ed Sheeran,Shape of You,sg,2017-05-30,NA
Ed Sheeran,Shape of You,sg,2017-05-31,NA
Ed Sheeran,Shape of You,sg,2017-06-01,45989
Ed Sheeran,Shape of You,sg,2017-06-02,NA
Ed Sheeran,Shape of You,sg,2017-06-03,38758
Ed Sheeran,Shape of You,sg,2017-06-04,37322
Ed Sheeran,Shape of You,sg,2017-06-05,43638
Ed Sheeran,Shape of You,sg,2017-06-06,43523
Ed Sheeran,Shape of You,sg,2017-06-07,44914
Ed Sheeran,Shape of You,sg,2017-06-08,45452
Ed Sheeran,Shape of You,sg,2017-06-09,44743
Ed Sheeran,Shape of You,sg,2017-06-10,37368
Ed Sheeran,Shape of You,sg,2017-06-11,36037
Ed Sheeran,Shape of You,sg,2017-06-12,43056
Ed Sheeran,Shape of You,sg,2017-06-13,43019
Ed Sheeran,Shape of You,sg,2017-06-14,43088
Ed Sheeran,Shape of You,sg,2017-06-15,42909
Ed Sheeran,Shape of You,sg,2017-06-16,41104
Ed Sheeran,Shape of You,sg,2017-06-17,36888
Ed Sheeran,Shape of You,sg,2017-06-18,34204
Ed Sheeran,Shape of You,sg,2017-06-19,40178
Ed Sheeran,Shape of You,sg,2017-06-20,40483
Ed Sheeran,Shape of You,sg,2017-06-21,38242
Ed Sheeran,Shape of You,sg,2017-06-22,39349
Ed Sheeran,Shape of You,sg,2017-06-23,38482
Ed Sheeran,Shape of You,sg,2017-06-24,33059
Ed Sheeran,Shape of You,sg,2017-06-25,29436
Ed Sheeran,Shape of You,sg,2017-06-26,31318
Ed Sheeran,Shape of You,sg,2017-06-27,35795
Ed Sheeran,Shape of You,sg,2017-06-28,35681
Ed Sheeran,Shape of You,sg,2017-06-29,35669
Ed Sheeran,Shape of You,sg,2017-06-30,35114
Ed Sheeran,Shape of You,sg,2017-07-01,32083
Ed Sheeran,Shape of You,sg,2017-07-02,31178
Ed Sheeran,Shape of You,sg,2017-07-03,37097
Ed Sheeran,Shape of You,sg,2017-07-04,35782
Ed Sheeran,Shape of You,sg,2017-07-05,35182
Ed Sheeran,Shape of You,sg,2017-07-06,35315
Ed Sheeran,Shape of You,sg,2017-07-07,35313
Ed Sheeran,Shape of You,sg,2017-07-08,32659
Ed Sheeran,Shape of You,sg,2017-07-09,31190
Ed Sheeran,Shape of You,sg,2017-07-10,35637
Ed Sheeran,Shape of You,sg,2017-07-11,35935
Ed Sheeran,Shape of You,sg,2017-07-12,35061
Ed Sheeran,Shape of You,sg,2017-07-13,34927
Ed Sheeran,Shape of You,sg,2017-07-14,33698
Ed Sheeran,Shape of You,sg,2017-07-15,31447
Ed Sheeran,Shape of You,sg,2017-07-16,30842
Ed Sheeran,Shape of You,sg,2017-07-17,34160
Ed Sheeran,Shape of You,sg,2017-07-18,35290
Ed Sheeran,Shape of You,sg,2017-07-19,34547
Ed Sheeran,Shape of You,sg,2017-07-20,34336
Ed Sheeran,Shape of You,sg,2017-07-21,32883
Ed Sheeran,Shape of You,sg,2017-07-22,31057
Ed Sheeran,Shape of You,sg,2017-07-23,30423
Ed Sheeran,Shape of You,sg,2017-07-24,32919
Ed Sheeran,Shape of You,sg,2017-07-25,33502
Ed Sheeran,Shape of You,sg,2017-07-26,32542
Ed Sheeran,Shape of You,sg,2017-07-27,33222
Ed Sheeran,Shape of You,sg,2017-07-28,32731
Ed Sheeran,Shape of You,sg,2017-07-29,30815
Ed Sheeran,Shape of You,sg,2017-07-30,29782
Ed Sheeran,Shape of You,sg,2017-07-31,32458
Ed Sheeran,Shape of You,sg,2017-08-01,33178
Ed Sheeran,Shape of You,sg,2017-08-02,32712
Ed Sheeran,Shape of You,sg,2017-08-03,32844
Ed Sheeran,Shape of You,sg,2017-08-04,30941
Ed Sheeran,Shape of You,sg,2017-08-05,30038
Ed Sheeran,Shape of You,sg,2017-08-06,28123
Ed Sheeran,Shape of You,sg,2017-08-07,31013
Ed Sheeran,Shape of You,sg,2017-08-08,31044
Ed Sheeran,Shape of You,sg,2017-08-09,25907
Ed Sheeran,Shape of You,sg,2017-08-10,32004
Ed Sheeran,Shape of You,sg,2017-08-11,29052
Ed Sheeran,Shape of You,sg,2017-08-12,27499
Ed Sheeran,Shape of You,sg,2017-08-13,26943
Ed Sheeran,Shape of You,sg,2017-08-14,30505
Ed Sheeran,Shape of You,sg,2017-08-15,30818
Ed Sheeran,Shape of You,sg,2017-08-16,30253
Ed Sheeran,Shape of You,sg,2017-08-17,30852
Ed Sheeran,Shape of You,sg,2017-08-18,30111
Ed Sheeran,Shape of You,sg,2017-08-19,27799
Ed Sheeran,Shape of You,sg,2017-08-20,27301
Ed Sheeran,Shape of You,sg,2017-08-21,30542
Ed Sheeran,Shape of You,sg,2017-08-22,30026
Ed Sheeran,Shape of You,sg,2017-08-23,29644
Ed Sheeran,Shape of You,sg,2017-08-24,29193
Ed Sheeran,Shape of You,sg,2017-08-25,28459
Ed Sheeran,Shape of You,sg,2017-08-26,26187
Ed Sheeran,Shape of You,sg,2017-08-27,25523
Ed Sheeran,Shape of You,sg,2017-08-28,29722
Ed Sheeran,Shape of You,sg,2017-08-29,29329
Ed Sheeran,Shape of You,sg,2017-08-30,28506
Ed Sheeran,Shape of You,sg,2017-08-31,29496
Ed Sheeran,Shape of You,sg,2017-09-01,24904
Ed Sheeran,Shape of You,sg,2017-09-02,25691
Ed Sheeran,Shape of You,sg,2017-09-03,25327
